time,IL6combo,Btumor,regimen,patient_id
0,0,80600000000,fixed_0.8mg,1
0.01,277.446600862071,80619940634.574,fixed_0.8mg,1
0.02,628.068959667124,80639288832.0652,fixed_0.8mg,1
0.03,842.707201040838,80657971477.7726,fixed_0.8mg,1
0.04,934.507377166701,80676052964.6791,fixed_0.8mg,1
0.05,933.506667256999,80693556244.2498,fixed_0.8mg,1
0.06,874.99302412816,80710580176.4282,fixed_0.8mg,1
0.07,780.527951447174,80727188556.4509,fixed_0.8mg,1
0.08,665.916685397796,80743442441.7798,fixed_0.8mg,1
0.09,543.098368407503,80759399045.8191,fixed_0.8mg,1
0.1,421.076277427101,80775110149.8202,fixed_0.8mg,1
0.11,306.557478514561,80790622084.4078,fixed_0.8mg,1
0.12,207.068205659308,80805958650.7662,fixed_0.8mg,1
0.13,132.528823503197,80821145189.8663,fixed_0.8mg,1
0.14,84.9283217401436,80836186661.2245,fixed_0.8mg,1
0.15,55.9544684413707,80851082003.662,fixed_0.8mg,1
0.16,38.5474855461501,80865826605.7323,fixed_0.8mg,1
0.17,28.301710137805,80880411532.0963,fixed_0.8mg,1
0.18,22.1504721742308,80894841042.584,fixed_0.8mg,1
0.19,18.5541719845709,80909112922.3376,fixed_0.8mg,1
0.2,16.5750335944378,80923217412.8105,fixed_0.8mg,1
0.21,15.5506763277352,80937150421.8098,fixed_0.8mg,1
0.22,15.0698757507539,80950922019.5356,fixed_0.8mg,1
0.23,14.9422149966996,80964517461.1215,fixed_0.8mg,1
0.24,15.0115723064238,80977939221.354,fixed_0.8mg,1
0.25,15.1915395061445,80991196454.1949,fixed_0.8mg,1
0.26,15.4391764041192,81004268378.4993,fixed_0.8mg,1
0.27,15.7177788958448,81017168162.4683,fixed_0.8mg,1
0.28,16.0100174830099,81029893577.7121,fixed_0.8mg,1
0.29,16.3047074558267,81042454861.9142,fixed_0.8mg,1
0.3,16.5954333785449,81054827382.4397,fixed_0.8mg,1
0.31,16.8781340339336,81067028633.3861,fixed_0.8mg,1
0.32,17.1483478628978,81079032921.923,fixed_0.8mg,1
0.33,17.4090107317038,81090898319.1844,fixed_0.8mg,1
0.34,17.6587929145396,81102609519.4274,fixed_0.8mg,1
0.35,17.8926254575264,81114101076.7451,fixed_0.8mg,1
0.36,18.1144391181956,81125433514.3907,fixed_0.8mg,1
0.37,18.3247363588164,81136614943.0452,fixed_0.8mg,1
0.38,18.5235071240774,81147646132.9362,fixed_0.8mg,1
0.39,18.7065616232003,81158469232.9684,fixed_0.8mg,1
0.4,18.874673250427,81169091837.4758,fixed_0.8mg,1
0.41,19.037284607134,81179640642.2725,fixed_0.8mg,1
0.42,19.1829403682685,81189957542.7053,fixed_0.8mg,1
0.43,19.3217627014849,81200180981.2631,fixed_0.8mg,1
0.44,19.4446838524232,81210183266.9286,fixed_0.8mg,1
0.45,19.5606119468111,81220088293.4936,fixed_0.8mg,1
0.46,19.6616989578666,81229782931.3364,fixed_0.8mg,1
0.47,19.7556841580833,81239376893.1789,fixed_0.8mg,1
0.48,19.835869478916,81248771173.3272,fixed_0.8mg,1
0.49,19.908887033573,81258061737.2288,fixed_0.8mg,1
0.5,19.9691102565563,81267163213.7398,fixed_0.8mg,1
0.51,20.0221351661823,81276158306.3986,fixed_0.8mg,1
0.52,20.053980667307,81284830040.0401,fixed_0.8mg,1
0.53,20.0729415391922,81293305056.1458,fixed_0.8mg,1
0.54,20.0919024110775,81301780072.2516,fixed_0.8mg,1
0.55,20.1108632829627,81310255088.3573,fixed_0.8mg,1
0.56,20.1298241548479,81318730104.463,fixed_0.8mg,1
0.57,20.1394131629283,81327055373.6192,fixed_0.8mg,1
0.58,20.1139339357093,81334820310.1272,fixed_0.8mg,1
0.59,20.0884547084903,81342585246.6351,fixed_0.8mg,1
0.6,20.0629754812712,81350350183.1431,fixed_0.8mg,1
0.61,20.0374962540522,81358115119.6511,fixed_0.8mg,1
0.62,20.0120170268332,81365880056.1591,fixed_0.8mg,1
0.63,19.9559811691811,81373126114.8953,fixed_0.8mg,1
0.64,19.8923072222761,81380242472.33,fixed_0.8mg,1
0.65,19.8286332753712,81387358829.7648,fixed_0.8mg,1
0.66,19.7649593284662,81394475187.1996,fixed_0.8mg,1
0.67,19.7012853815612,81401591544.6343,fixed_0.8mg,1
0.68,19.6250398139505,81408479666.3049,fixed_0.8mg,1
0.69,19.5290611307904,81415009536.4171,fixed_0.8mg,1
0.7,19.4330824476304,81421539406.5294,fixed_0.8mg,1
0.71,19.3371037644703,81428069276.6416,fixed_0.8mg,1
0.72,19.2411250813103,81434599146.7538,fixed_0.8mg,1
0.73,19.1451463981503,81441129016.8661,fixed_0.8mg,1
0.74,19.0229489443603,81447145497.9667,fixed_0.8mg,1
0.75,18.9001697047022,81453150587.1346,fixed_0.8mg,1
0.76,18.7773904650442,81459155676.3025,fixed_0.8mg,1
0.77,18.6546112253861,81465160765.4703,fixed_0.8mg,1
0.78,18.5318319857281,81471165854.6382,fixed_0.8mg,1
0.79,18.3896534546397,81476737373.4881,fixed_0.8mg,1
0.8,18.2326860344696,81481978363.5985,fixed_0.8mg,1
0.81,18.0757186142995,81487219353.7089,fixed_0.8mg,1
0.82,17.9187511941294,81492460343.8194,fixed_0.8mg,1
0.83,17.7617837739593,81497701333.9298,fixed_0.8mg,1
0.84,17.6048163537892,81502942324.0402,fixed_0.8mg,1
0.85,17.4478489336191,81508183314.1506,fixed_0.8mg,1
0.86,17.290881513449,81513424304.2611,fixed_0.8mg,1
0.87,17.1339140932789,81518665294.3715,fixed_0.8mg,1
0.88,16.9769466731088,81523906284.4819,fixed_0.8mg,1
0.89,16.8199792529386,81529147274.5924,fixed_0.8mg,1
0.9,16.6630118327685,81534388264.7028,fixed_0.8mg,1
0.91,16.5060444125984,81539629254.8132,fixed_0.8mg,1
0.92,16.3490769924283,81544870244.9237,fixed_0.8mg,1
0.93,16.1652161859875,81549331133.5888,fixed_0.8mg,1
0.94,15.9806472413159,81553771481.1569,fixed_0.8mg,1
0.95,15.7960782966443,81558211828.725,fixed_0.8mg,1
0.96,15.6115093519727,81562652176.2932,fixed_0.8mg,1
0.97,15.4269404073011,81567092523.8613,fixed_0.8mg,1
0.98,15.2423714626295,81571532871.4294,fixed_0.8mg,1
0.99,15.0578025179578,81575973218.9975,fixed_0.8mg,1
1,14.8732335732862,81580413566.5656,fixed_0.8mg,1
1.01,14.6886646286146,81584853914.1337,fixed_0.8mg,1
1.02,14.504095683943,81589294261.7018,fixed_0.8mg,1
1.03,14.3195267392714,81593734609.2699,fixed_0.8mg,1
1.04,14.1349577945998,81598174956.838,fixed_0.8mg,1
1.05,13.9503888499281,81602615304.4061,fixed_0.8mg,1
1.06,13.7631918957255,81606880922.072,fixed_0.8mg,1
1.07,13.5717300214585,81610862975.6728,fixed_0.8mg,1
1.08,13.3802681471916,81614845029.2735,fixed_0.8mg,1
1.09,13.1888062729246,81618827082.8743,fixed_0.8mg,1
1.1,12.9973443986576,81622809136.475,fixed_0.8mg,1
1.11,12.8058825243906,81626791190.0758,fixed_0.8mg,1
1.12,12.6144206501236,81630773243.6765,fixed_0.8mg,1
1.13,12.4229587758567,81634755297.2773,fixed_0.8mg,1
1.14,12.2314969015897,81638737350.878,fixed_0.8mg,1
1.15,12.0400350273227,81642719404.4788,fixed_0.8mg,1
1.16,11.8485731530557,81646701458.0795,fixed_0.8mg,1
1.17,11.6571112787887,81650683511.6803,fixed_0.8mg,1
1.18,11.4656494045217,81654665565.281,fixed_0.8mg,1
1.19,11.2741875302548,81658647618.8817,fixed_0.8mg,1
1.2,11.0889726350783,81662511403.3275,fixed_0.8mg,1
1.21,10.905436598708,81666343403.2564,fixed_0.8mg,1
1.22,10.7219005623378,81670175403.1853,fixed_0.8mg,1
1.23,10.5383645259675,81674007403.1142,fixed_0.8mg,1
1.24,10.3548284895973,81677839403.043,fixed_0.8mg,1
1.25,10.1712924532271,81681671402.9719,fixed_0.8mg,1
1.26,9.98775641685684,81685503402.9008,fixed_0.8mg,1
1.27,9.80422038048661,81689335402.8297,fixed_0.8mg,1
1.28,9.62068434411637,81693167402.7586,fixed_0.8mg,1
1.29,9.43714830774614,81696999402.6875,fixed_0.8mg,1
1.3,9.25361227137591,81700831402.6163,fixed_0.8mg,1
1.31,9.07007623500567,81704663402.5452,fixed_0.8mg,1
1.32,8.88654019863544,81708495402.4741,fixed_0.8mg,1
1.33,8.70653089918994,81712350201.3775,fixed_0.8mg,1
1.34,8.54107175653847,81716299061.3525,fixed_0.8mg,1
1.35,8.375612613887,81720247921.3274,fixed_0.8mg,1
1.36,8.21015347123553,81724196781.3024,fixed_0.8mg,1
1.37,8.04469432858405,81728145641.2773,fixed_0.8mg,1
1.38,7.87923518593258,81732094501.2523,fixed_0.8mg,1
1.39,7.7137760432811,81736043361.2272,fixed_0.8mg,1
1.4,7.54831690062963,81739992221.2022,fixed_0.8mg,1
1.41,7.38285775797815,81743941081.1771,fixed_0.8mg,1
1.42,7.21739861532668,81747889941.1521,fixed_0.8mg,1
1.43,7.05193947267521,81751838801.127,fixed_0.8mg,1
1.44,6.88648033002374,81755787661.102,fixed_0.8mg,1
1.45,6.72102118737226,81759736521.0769,fixed_0.8mg,1
1.46,6.55556204472079,81763685381.0518,fixed_0.8mg,1
1.47,6.4051707142454,81767836007.9097,fixed_0.8mg,1
1.48,6.26474058654064,81772120021.1418,fixed_0.8mg,1
1.49,6.12431045883589,81776404034.3739,fixed_0.8mg,1
1.5,5.98388033113113,81780688047.606,fixed_0.8mg,1
1.51,5.84345020342638,81784972060.838,fixed_0.8mg,1
1.52,5.70302007572162,81789256074.0701,fixed_0.8mg,1
1.53,5.56258994801687,81793540087.3022,fixed_0.8mg,1
1.54,5.42215982031211,81797824100.5342,fixed_0.8mg,1
1.55,5.28172969260736,81802108113.7663,fixed_0.8mg,1
1.56,5.14129956490261,81806392126.9984,fixed_0.8mg,1
1.57,5.00086943719785,81810676140.2305,fixed_0.8mg,1
1.58,4.8604393094931,81814960153.4625,fixed_0.8mg,1
1.59,4.72000918178835,81819244166.6946,fixed_0.8mg,1
1.6,4.57974603437239,81823530938.4537,fixed_0.8mg,1
1.61,4.45801223629221,81828123816.4678,fixed_0.8mg,1
1.62,4.33627843821202,81832716694.4819,fixed_0.8mg,1
1.63,4.21454464013183,81837309572.496,fixed_0.8mg,1
1.64,4.09442571158087,81841929502.5316,fixed_0.8mg,1
1.65,3.98166843042502,81846672753.6401,fixed_0.8mg,1
1.66,3.86891114926917,81851416004.7487,fixed_0.8mg,1
1.67,3.75615386811331,81856159255.8573,fixed_0.8mg,1
1.68,3.64697194123711,81860958325.4047,fixed_0.8mg,1
1.69,3.54440470090166,81865860663.4528,fixed_0.8mg,1
1.7,3.4418374605662,81870763001.5009,fixed_0.8mg,1
1.71,3.33927022023075,81875665339.5491,fixed_0.8mg,1
1.72,3.24259855934284,81880654851.9117,fixed_0.8mg,1
1.73,3.15132908893929,81885724243.1492,fixed_0.8mg,1
1.74,3.06005961853573,81890793634.3867,fixed_0.8mg,1
1.75,2.96879014813218,81895863025.6241,fixed_0.8mg,1
1.76,2.88587818882767,81901052334.4428,fixed_0.8mg,1
1.77,2.80667203353198,81906294815.9163,fixed_0.8mg,1
1.78,2.7274658782363,81911537297.3897,fixed_0.8mg,1
1.79,2.64825972294062,81916779778.8632,fixed_0.8mg,1
1.8,2.57903502975832,81922164577.9311,fixed_0.8mg,1
1.81,2.51138454189956,81927571822.3193,fixed_0.8mg,1
1.82,2.44373405404081,81932979066.7076,fixed_0.8mg,1
1.83,2.38116265093484,81938461534.2974,fixed_0.8mg,1
1.84,2.32235410402309,81943999731.237,fixed_0.8mg,1
1.85,2.26540915155331,81949568670.9077,fixed_0.8mg,1
1.86,2.21316497822095,81955215156.8441,fixed_0.8mg,1
1.87,2.16092080488859,81960861642.7805,fixed_0.8mg,1
1.88,2.11431199028568,81966616216.3172,fixed_0.8mg,1
1.89,2.06774084735832,81972371512.4062,fixed_0.8mg,1
1.9,2.02446281048743,81978203514.1213,fixed_0.8mg,1
1.91,1.98257720343386,81984067949.411,fixed_0.8mg,1
1.92,1.94223662821722,81989977434.5525,fixed_0.8mg,1
1.93,1.90409847835645,81995951137.7467,fixed_0.8mg,1
1.94,1.86632127632104,82001938174.1162,fixed_0.8mg,1
1.95,1.83114773370804,82008021387.9524,fixed_0.8mg,1
1.96,1.79597419109504,82014104601.7886,fixed_0.8mg,1
1.97,1.76272050695985,82020277587.4677,fixed_0.8mg,1
1.98,1.72989101955524,82026470408.4226,fixed_0.8mg,1
1.99,1.69794418476288,82032714404.2094,fixed_0.8mg,1
2,1.66682422547818,82039006340.958,fixed_0.8mg,1
2.1,1.38864672346307,82104546353.8441,fixed_0.8mg,1
2.2,1.15468881548283,82174723920.1942,fixed_0.8mg,1
2.3,0.957021914797421,82249356883.7542,fixed_0.8mg,1
2.4,0.793939915186719,82328312645.9122,fixed_0.8mg,1
2.5,0.668422262740621,82411710031.6325,fixed_0.8mg,1
2.6,0.572946573733055,82498407056.369,fixed_0.8mg,1
2.7,0.511643553628394,82588785211.1889,fixed_0.8mg,1
2.8,0.477391190920534,82682978001.7202,fixed_0.8mg,1
2.9,0.454713828777027,82780321557.8499,fixed_0.8mg,1
3,0.437421725414016,82880872794.1135,fixed_0.8mg,1
3.1,0.422684419562731,82984423890.5023,fixed_0.8mg,1
3.2,0.409557249878544,83090744271.9178,fixed_0.8mg,1
3.3,0.397693566442713,83199658451.0677,fixed_0.8mg,1
3.4,0.386919731333151,83311057674.3707,fixed_0.8mg,1
3.5,0.377061142259066,83424676754.659,fixed_0.8mg,1
3.6,0.368538248004622,83541827060.4099,fixed_0.8mg,1
3.7,0.360044717822529,83659055893.5165,fixed_0.8mg,1
3.8,0.352656609855132,83779575891.0274,fixed_0.8mg,1
3.9,0.345614522389483,83901126092.5122,fixed_0.8mg,1
4,0.339186533598748,84024796150.4345,fixed_0.8mg,1
4.1,0.333262965256084,84150207457.7321,fixed_0.8mg,1
4.2,0.327631646372241,84276794828.4752,fixed_0.8mg,1
4.3,0.32257669372609,84405701598.7683,fixed_0.8mg,1
4.4,0.317605716397241,84535005100.2924,fixed_0.8mg,1
4.5,0.313228638872942,84667114409.6185,fixed_0.8mg,1
4.6,0.308851561348644,84799223718.9447,fixed_0.8mg,1
4.7,0.305111155986872,84934976921.3838,fixed_0.8mg,1
4.8,0.301432715415162,85071084769.5653,fixed_0.8mg,1
